"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Unclassified Embryophyta;",445,206,72,290,213,90,117,4166,122,135,160,66,1730,150,1368,144,304,138,139,132,304,169,349,359,131,164,103,184,101,94,1301,438
"Unknown;;;;;",2335,2661,2663,2898,2938,2766,2413,2031,3257,2678,2911,4344,2638,2452,2561,3485,2466,2407,2224,4862,2453,2813,2670,2583,2654,2715,2354,2882,2575,2754,2913,2765
"Bacteria;Unclassified Bacteria;;;;",3642,4446,5230,5509,3633,4540,5374,4276,3859,4660,4951,5169,3247,4657,4653,4757,3747,4961,5181,3903,4181,4684,5072,4575,3990,4436,5410,5140,3766,4064,4978,4363
"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Lamiales;Unclassified Lamiales",1,0,0,0,0,0,0,455,0,6,2,0,0,1,119,0,7,2,3,20,2,3,2,1,2,4,2,8,1,0,150,0
"Unclassified ;;;;;",399,349,318,327,352,377,362,560,388,356,368,252,360,368,412,393,410,433,363,180,380,319,335,298,435,368,369,326,398,343,420,285
"Eukaryota;Metazoa;Arthropoda;Hexapoda;Insecta;Unclassified Insecta",12,19,5,11,4,2,3,9,6,1183,1484,14,23,1151,1361,10,1589,1609,1554,1581,1398,1242,1272,1,1389,1242,1617,1190,1323,1309,2,4
"Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;",729,887,907,821,692,944,1019,825,1263,1010,997,1052,1118,1027,1177,1130,588,938,961,826,899,728,895,1150,590,760,1357,1296,677,696,1300,813
"Eukaryota;Unclassified Eukaryota;;;;",126,122,34,42,178,115,60,182,48,75,67,30,170,90,79,31,166,71,50,644,93,133,70,49,121,122,26,47,93,114,82,126
"Bacteria;Proteobacteria;Betaproteobacteria;Unclassified Betaproteobacteria;;",579,570,547,670,320,559,547,568,598,600,522,623,445,521,581,614,464,569,542,562,442,434,462,584,349,353,574,543,370,393,561,398
"Bacteria;Proteobacteria;Unclassified Proteobacteria;;;",533,540,513,399,410,438,460,346,500,522,467,455,347,482,472,440,476,536,483,445,448,406,413,430,429,394,524,463,378,445,495,369
"Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;",493,564,448,296,536,647,417,341,557,577,489,414,502,573,450,488,599,723,498,437,647,561,473,552,617,526,558,466,641,524,543,417
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Unclassified Rhizobiales;",413,293,236,222,330,256,200,235,456,335,249,302,463,302,311,412,427,316,312,396,405,305,305,420,390,290,350,328,389,376,348,333
"Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas",192,250,482,488,194,324,517,406,273,381,445,577,227,370,435,438,194,369,495,375,296,348,535,381,219,309,511,612,211,245,576,297
"Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Unclassified Planctomycetaceae",380,451,344,255,450,478,379,275,459,457,384,305,346,446,397,382,374,470,453,319,401,370,372,360,373,376,387,361,355,457,443,361
"Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Alphaproteobacteria;;",352,284,208,238,304,231,167,160,327,284,223,232,312,262,295,278,432,282,273,302,334,236,201,338,368,300,308,288,369,289,321,275
"Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified Deltaproteobacteria;;",314,396,428,320,264,390,393,257,379,399,399,428,295,381,410,432,291,419,398,292,338,379,353,378,297,325,428,437,290,294,465,256
"Bacteria;Actinobacteria;Unclassified Actinobacteria;;;",274,370,629,811,390,383,695,458,326,409,567,571,295,465,408,453,268,331,595,297,409,672,722,381,382,528,426,535,451,561,414,806
"Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Gammaproteobacteria;;",348,324,277,209,310,309,240,158,322,336,249,252,306,334,278,279,343,273,238,237,280,264,221,309,303,237,246,207,284,267,250,215
"Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;;",275,275,331,420,370,266,333,324,312,321,325,339,296,331,230,300,259,266,351,211,382,341,313,320,324,344,230,306,419,376,264,559
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium",17,9,4,4,12,4,4,33,15,8,4,13,9,8,22,9,15,10,8,199,45,23,16,12,16,16,7,21,25,19,22,21
"Bacteria;Verrucomicrobia;Unclassified Verrucomicrobia;;;",318,222,176,123,222,179,143,105,190,199,141,123,151,165,129,159,329,230,158,190,255,208,166,144,354,249,184,202,447,325,169,180
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unclassified Comamonadaceae",281,198,134,216,88,140,126,162,216,148,133,201,197,118,178,176,250,175,168,189,171,114,128,159,168,142,196,186,118,108,186,107
"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Polytrichales;Unclassified Polytrichales",0,0,0,0,0,0,0,47,0,0,0,0,0,0,17,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,16,0
"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Apiales;Unclassified Apiales",2,0,0,0,0,0,0,31,0,1,0,6,0,0,13,0,4,0,1,19,0,3,0,13,1,2,4,0,0,0,8,0
"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unclassified Chitinophagaceae",342,153,113,142,203,150,109,83,346,162,132,125,356,207,151,238,322,178,116,171,304,154,149,193,336,204,203,217,399,221,162,179
"Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales;",288,394,407,477,614,326,453,299,343,372,424,368,314,434,257,270,269,338,441,152,432,588,522,267,409,660,299,337,611,642,328,930
"Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;",218,215,183,244,295,250,192,132,235,188,206,195,221,254,166,236,160,190,205,152,300,318,260,239,252,251,208,212,391,348,212,418
"Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira",95,103,226,284,48,122,253,206,167,134,259,278,129,150,291,265,77,141,250,142,113,115,148,228,65,81,321,252,57,87,285,116
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas",106,45,30,45,105,45,25,44,163,64,53,69,131,77,85,106,117,52,42,139,151,66,42,100,121,88,85,95,187,88,57,99
"Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae",152,190,165,134,171,199,173,109,143,179,156,134,113,206,147,138,200,281,195,124,205,174,165,149,210,209,176,167,188,162,146,138
"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Unclassified Myxococcales;",249,233,195,143,140,185,156,94,187,252,189,176,153,189,151,164,183,236,178,118,171,196,184,147,234,170,173,162,180,181,178,168
"Archaea;Thaumarchaeota;Unclassified Thaumarchaeota;;;",50,101,138,233,78,102,152,175,132,109,161,198,171,79,191,179,24,93,155,112,65,101,119,148,19,119,290,183,52,84,177,146
"Bacteria;Actinobacteria;Thermoleophilia;Unclassified Thermoleophilia;;",73,185,310,358,180,189,306,254,136,204,263,261,118,229,130,171,62,163,250,109,129,301,358,170,101,246,177,228,141,221,189,427
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unclassified Burkholderiales;",133,122,164,145,70,151,108,100,122,110,120,127,124,112,130,133,78,130,103,115,100,83,115,112,98,69,99,95,58,83,111,80
"Bacteria;Chloroflexi;Unclassified Chloroflexi;;;",81,119,139,219,118,129,175,175,132,140,131,157,106,127,123,173,96,105,174,113,113,194,151,157,117,161,130,132,85,122,157,157
"Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella",47,181,352,472,92,175,362,200,101,165,323,261,74,173,150,186,49,117,315,114,94,237,346,155,92,186,142,202,77,145,179,335
"Bacteria;Verrucomicrobia;OPB35 soil group;Unclassified OPB35 soil group;;",228,265,232,172,280,283,280,116,152,248,231,141,151,290,173,164,239,227,195,113,238,246,225,129,196,203,139,135,203,295,145,143
"Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Unclassified Chthoniobacterales;",149,94,53,56,89,70,50,42,106,69,53,57,93,61,68,85,173,111,71,106,116,80,66,79,145,120,109,83,248,140,86,113
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Unclassified Anaerolineaceae",136,144,198,296,146,190,241,162,112,144,194,193,117,209,226,207,104,101,157,110,145,172,239,144,120,156,186,141,106,171,165,134
"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Unclassified Desulfuromonadales;",76,109,115,124,72,128,138,90,142,116,111,125,120,100,153,177,68,142,123,104,84,87,102,99,67,89,141,112,71,98,149,71
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Unclassified Sphingomonadaceae",188,69,25,45,153,63,27,41,149,61,39,39,144,73,57,100,174,87,46,93,183,60,43,87,184,119,53,91,299,176,73,111
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unclassified Bradyrhizobiaceae",96,40,32,35,53,35,22,30,120,48,26,42,129,31,65,86,130,36,36,82,96,40,44,128,113,73,97,115,97,73,93,72
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Unclassified Sphingomonadales;",226,93,39,46,241,82,28,33,154,88,51,53,163,127,66,97,203,105,62,77,232,90,56,83,247,131,74,75,397,219,91,140
"Eukaryota;Metazoa;Chordata;Craniata;Craniata;Teleostei",10,9,10,4,12,12,13,0,72,3,2,95,129,0,1,81,0,1,0,84,0,1,1,0,0,2,2,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unclassified Ruminococcaceae",9,7,12,20,6,6,16,180,28,8,8,25,7,14,8,15,5,14,12,77,9,5,13,358,15,9,12,7,7,12,12,6
"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Lamiales;Veronica",0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,3,0
"Eukaryota;Fungi;Ascomycota;Pezizomycotina;Unclassified Pezizomycotina;",73,104,74,26,361,118,62,44,53,119,86,27,43,62,13,16,137,84,91,79,138,211,90,23,105,301,28,35,156,194,19,71
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia",94,87,96,112,55,99,98,82,66,78,88,119,51,92,82,88,68,87,81,72,63,58,79,83,42,45,66,58,53,47,89,64
"Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified Clostridiales;",43,55,66,63,37,62,61,91,54,58,52,72,51,46,45,64,34,64,46,71,41,52,55,170,44,50,63,49,31,37,49,52
"Bacteria;Acidobacteria;Unclassified Acidobacteria;;;",55,69,90,84,52,82,79,63,85,80,66,87,62,95,99,83,56,82,67,72,75,81,81,79,59,60,97,80,58,55,110,65
"Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata",107,82,67,51,117,127,81,39,91,117,88,71,109,127,83,83,89,87,79,69,133,86,84,87,85,83,59,96,109,102,88,92
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium",57,41,23,17,39,17,31,29,90,31,21,44,102,25,69,73,65,34,21,68,51,26,23,87,80,41,92,75,48,38,75,64
"Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;;",252,155,88,64,122,92,62,71,139,118,67,62,117,127,59,80,171,114,84,61,135,100,83,96,190,129,84,74,169,110,65,75
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Unclassified Xanthomonadaceae",111,65,37,47,52,54,35,42,105,54,43,58,62,60,47,54,131,63,40,58,86,53,40,66,60,61,57,68,63,49,51,45
"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter",166,215,82,62,108,174,63,34,155,117,70,58,156,132,86,75,134,113,56,56,84,75,66,76,130,73,51,55,120,130,62,69
