,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Unclassified Desulfurococcaceae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Unclassified Sulfolobaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Unclassified Thermoproteaceae,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Unclassified Archaeoglobaceae,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Unclassified Archaeoglobales;,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Unclassified Halobacteriaceae,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;MSP41;Unclassified MSP41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Unclassified Halobacteriales;,0,4,3,0,0,1,3,0,0,2,0,0,1,2,0,0,0,1,6,0,0,0,1,0,1,1,1,0,0,0,0,0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,0,1,1,1,0,0,1,1,4,0,0,1,0,1,0,0,0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Unclassified Methanobacteriaceae,1,1,4,2,0,0,3,3,0,3,1,5,0,0,0,2,2,4,6,3,3,3,3,3,1,1,1,0,0,1,0,0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Unclassified Methanobacteriales;,2,3,1,0,1,2,0,1,0,0,1,0,0,0,1,2,1,3,2,0,1,0,1,0,1,1,1,0,0,0,0,0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Unclassified Methanocaldococcaceae,1,1,2,0,0,1,2,0,0,3,3,1,0,3,0,2,0,2,2,0,0,1,0,0,2,0,2,0,0,2,0,0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Unclassified Methanococcaceae,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Unclassified Methanococcales;,0,3,1,0,1,5,8,4,0,2,6,4,0,2,1,0,1,3,2,0,1,4,0,1,1,0,0,1,1,3,2,1
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Unclassified Methanocellaceae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Family Incertae Sedis;Unclassified Family Incertae Sedis,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum,0,3,2,0,1,0,0,0,0,2,2,0,0,1,0,0,0,2,2,1,2,1,1,0,1,0,0,0,1,3,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Unclassified Methanomicrobiaceae,0,3,1,1,1,6,1,2,0,9,2,2,0,5,0,2,5,5,2,0,2,2,2,1,3,3,0,0,3,5,3,2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Unclassified Methanoregulaceae,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
